                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55182,                0.56501,                0.98973,                0.94161,                0.86489,                0.95486,                0.80096,                0.78619,                0.57129,                 1.0252,             0.00010983,             0.00010983,             0.00010983
                      2,                0.54836,                0.55372,                0.99086,                0.91897,                 0.9016,                0.95949,                0.78442,                0.81095,                0.54694,                  1.041,             0.00021865,             0.00021865,             0.00021865
                      3,                0.57593,                0.59697,                 1.0039,                0.86848,                0.90278,                 0.9487,                0.77342,                0.82293,                0.57279,                 1.0414,             0.00032526,             0.00032526,             0.00032526
                      4,                0.59957,                 0.6677,                 1.0122,                0.93319,                0.86143,                0.95182,                 0.8039,                0.74469,                0.56696,                0.99254,             0.00032311,             0.00032311,             0.00032311
                      5,                0.58905,                0.68059,                 1.0069,                 0.9047,                0.84215,                0.94188,                0.77315,                0.82111,                0.62886,                 1.0439,             0.00032311,             0.00032311,             0.00032311
                      6,                0.58744,                0.63656,                 1.0039,                0.86339,                0.87825,                0.95457,                0.79294,                0.78395,                0.61924,                  1.015,             0.00031981,             0.00031981,             0.00031981
                      7,                0.59287,                0.64641,                 1.0133,                0.89699,                0.81959,                0.95268,                0.78151,                 0.8129,                0.67119,                 1.0343,             0.00031652,             0.00031652,             0.00031652
                      8,                0.60724,                0.64459,                 1.0187,                0.85737,                0.86394,                0.94093,                 0.7859,                0.75511,                0.59305,                 1.0095,             0.00031322,             0.00031322,             0.00031322
                      9,                0.59072,                0.62336,                 1.0115,                0.94246,                0.86886,                0.94971,                0.77039,                0.84161,                0.56042,                 1.0644,             0.00030992,             0.00030992,             0.00030992
                     10,                0.58481,                0.63195,                 1.0124,                0.92891,                0.87969,                0.95913,                0.78127,                0.88796,                0.57245,                 1.0846,             0.00030663,             0.00030663,             0.00030663
                     11,                0.60264,                0.64039,                 1.0135,                0.90203,                0.87372,                 0.9349,                 0.7998,                0.72507,                0.65793,                0.98947,             0.00030333,             0.00030333,             0.00030333
                     12,                0.59781,                0.65476,                 1.0116,                0.90928,                0.83075,                0.93228,                0.74595,                0.87063,                0.65273,                 1.0794,             0.00030003,             0.00030003,             0.00030003
                     13,                0.58951,                 0.6256,                  1.013,                0.87758,                0.87153,                0.93527,                0.79869,                0.69111,                 0.6132,                0.98334,             0.00029674,             0.00029674,             0.00029674
                     14,                0.59778,                0.61838,                 1.0109,                0.93694,                0.86659,                0.94729,                0.78992,                0.76164,                 0.5901,                 1.0134,             0.00029344,             0.00029344,             0.00029344
                     15,                0.57787,                0.61291,                 1.0062,                0.86877,                0.86191,                0.93597,                0.77848,                0.78229,                0.63554,                 1.0202,             0.00029014,             0.00029014,             0.00029014
                     16,                0.59518,                0.59876,                 1.0131,                0.90706,                0.88026,                0.94617,                 0.7896,                0.74644,                0.54824,                 1.0102,             0.00028685,             0.00028685,             0.00028685
                     17,                0.57841,                 0.5997,                 1.0042,                0.86659,                0.87795,                0.95192,                0.76589,                0.85671,                0.64217,                 1.0465,             0.00028355,             0.00028355,             0.00028355
                     18,                0.58981,                0.59158,                 1.0049,                0.93722,                0.87589,                 0.9598,                0.81549,                0.74932,                0.48373,                0.98643,             0.00028025,             0.00028025,             0.00028025
                     19,                0.55991,                0.58349,                 1.0034,                0.85659,                 0.8608,                0.90215,                0.75336,                 0.7352,                  0.667,                0.98202,             0.00027696,             0.00027696,             0.00027696
                     20,                0.57479,                0.57887,                 1.0062,                 0.8786,                0.85349,                0.91923,                0.77302,                0.73993,                0.63641,                 1.0074,             0.00027366,             0.00027366,             0.00027366
                     21,                0.57215,                0.56814,                 0.9996,                0.86198,                 0.8551,                0.92451,                0.77785,                0.73801,                 0.6633,                0.99603,             0.00027036,             0.00027036,             0.00027036
                     22,                0.56822,                0.55589,                0.99833,                0.88065,                0.82655,                0.88973,                0.74283,                0.75798,                0.62695,                 1.0042,             0.00026707,             0.00026707,             0.00026707
                     23,                 0.5746,                0.57007,                 1.0004,                0.89163,                0.85283,                0.92597,                0.72114,                0.96149,                0.64151,                 1.1212,             0.00026377,             0.00026377,             0.00026377
