                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.57634,                0.57533,                 1.0107,                0.84988,                0.89075,                0.94028,                0.75434,                0.86232,                0.60306,                 1.0518,             0.00026047,             0.00026047,             0.00026047
                     25,                0.56175,                0.55691,                0.99336,                0.83181,                 0.8802,                0.93278,                0.75937,                  0.846,                0.64709,                 1.0433,             0.00025718,             0.00025718,             0.00025718
                     26,                0.55861,                0.54336,                0.98982,                0.88537,                  0.877,                0.91893,                0.73961,                0.83394,                0.63163,                 1.0479,             0.00025388,             0.00025388,             0.00025388
                     27,                0.56009,                 0.5428,                0.99433,                0.89903,                0.87885,                0.95248,                0.75874,                0.90286,                   0.57,                 1.0777,             0.00025058,             0.00025058,             0.00025058
                     28,                0.56735,                0.55176,                      1,                0.92263,                0.82593,                0.93081,                 0.7755,                0.76048,                0.59239,                0.99315,             0.00024729,             0.00024729,             0.00024729
                     29,                0.54235,                0.52886,                0.98748,                0.90785,                 0.8751,                 0.9349,                0.76907,                0.80066,                0.61208,                 1.0246,             0.00024399,             0.00024399,             0.00024399
                     30,                0.56335,                0.56311,                0.99713,                 0.8911,                 0.8698,                 0.9193,                0.75995,                0.78119,                0.63227,                 1.0118,             0.00024069,             0.00024069,             0.00024069
                     31,                0.55786,                0.55605,                0.99567,                0.90278,                 0.8647,                0.93565,                0.78768,                0.74832,                0.56338,                0.98319,              0.0002374,              0.0002374,              0.0002374
                     32,                0.54714,                0.51532,                0.98256,                0.90921,                0.88361,                0.94361,                0.78406,                0.79368,                0.55262,                 1.0035,              0.0002341,              0.0002341,              0.0002341
                     33,                0.54673,                0.53254,                0.98923,                  0.909,                0.84752,                0.94246,                  0.767,                0.84047,                0.61098,                 1.0643,              0.0002308,              0.0002308,              0.0002308
                     34,                0.54291,                0.50414,                0.98727,                0.94516,                0.85161,                0.95113,                0.79587,                0.74034,                 0.5354,                 1.0022,             0.00022751,             0.00022751,             0.00022751
                     35,                0.54107,                0.51334,                0.98944,                0.88949,                0.85457,                0.94184,                 0.7678,                0.83112,                0.63517,                 1.0431,             0.00022421,             0.00022421,             0.00022421
                     36,                0.53987,                0.51232,                0.98302,                0.91837,                0.86069,                0.92511,                0.76475,                0.79315,                0.61019,                 1.0195,             0.00022091,             0.00022091,             0.00022091
                     37,                0.54788,                 0.5141,                0.98905,                0.91072,                0.87349,                0.95648,                0.79457,                0.78132,                0.54143,                 1.0151,             0.00021762,             0.00021762,             0.00021762
                     38,                0.54139,                0.50333,                0.98375,                0.91746,                0.85621,                 0.9186,                0.74392,                0.83553,                0.58379,                  1.049,             0.00021432,             0.00021432,             0.00021432
                     39,                0.54186,                0.48752,                0.98851,                0.89694,                0.85371,                0.90432,                0.73786,                0.82197,                0.64738,                 1.0318,             0.00021102,             0.00021102,             0.00021102
                     40,                0.53556,                0.50564,                0.98666,                0.91801,                0.91481,                 0.9525,                0.78367,                0.81022,                0.52485,                  1.039,             0.00020773,             0.00020773,             0.00020773
                     41,                0.53963,                 0.4888,                0.98077,                 0.9276,                0.87321,                0.94316,                0.76803,                0.83336,                 0.5541,                 1.0416,             0.00020443,             0.00020443,             0.00020443
                     42,                0.52695,                0.47973,                0.97909,                0.92196,                0.85751,                0.93885,                0.78618,                 0.7781,                0.57408,                 1.0171,             0.00020113,             0.00020113,             0.00020113
                     43,                 0.5406,                0.50427,                0.98419,                0.91057,                0.88118,                0.96109,                0.80664,                0.74745,                0.52162,                0.99084,             0.00019784,             0.00019784,             0.00019784
                     44,                   0.54,                0.49286,                0.98964,                0.92859,                0.85585,                0.93907,                0.78945,                0.74871,                0.62101,                0.99954,             0.00019454,             0.00019454,             0.00019454
                     45,                0.52736,                0.48757,                0.97935,                0.90116,                0.85271,                0.95226,                 0.7957,                0.77697,                  0.538,                 1.0208,             0.00019124,             0.00019124,             0.00019124
                     46,                0.52027,                0.47054,                0.97991,                0.93582,                0.87867,                 0.9525,                0.81524,                0.71354,                0.49563,                0.96976,             0.00018795,             0.00018795,             0.00018795
                     47,                0.53253,                0.48379,                0.98542,                0.93913,                0.86555,                0.94277,                0.78043,                0.79865,                0.56062,                 1.0352,             0.00018465,             0.00018465,             0.00018465
                     48,                 0.5182,                0.45336,                0.97857,                0.93772,                0.84215,                0.94365,                0.78142,                0.77765,                0.55731,                 1.0255,             0.00018135,             0.00018135,             0.00018135
                     49,                0.51834,                0.45253,                 0.9723,                 0.9027,                0.86577,                0.94134,                 0.8074,                0.70393,                0.54742,                0.98186,             0.00017806,             0.00017806,             0.00017806
                     50,                0.51474,                0.45874,                0.97388,                0.91656,                0.85241,                0.95067,                0.80971,                0.70311,                0.56784,                0.96333,             0.00017476,             0.00017476,             0.00017476
                     51,                0.50867,                0.46892,                0.97009,                  0.937,                0.85663,                0.95379,                0.78885,                0.79733,                0.52285,                 1.0285,             0.00017146,             0.00017146,             0.00017146
                     52,                0.50682,                 0.4516,                0.97327,                0.93385,                0.85337,                0.94467,                0.78601,                0.76804,                0.54762,                0.99691,             0.00016817,             0.00016817,             0.00016817
                     53,                0.52209,                0.45516,                0.98083,                0.92928,                0.89012,                0.94129,                 0.7832,                0.80361,                0.57291,                 1.0254,             0.00016487,             0.00016487,             0.00016487
                     54,                0.51186,                 0.4573,                0.97164,                0.93325,                 0.8629,                 0.9331,                0.78513,                0.76716,                0.54161,                 1.0092,             0.00016157,             0.00016157,             0.00016157
                     55,                0.50007,                0.45028,                 0.9654,                0.92304,                0.85341,                0.92985,                0.78065,                0.75978,                0.55733,                 1.0121,             0.00015827,             0.00015827,             0.00015827
                     56,                0.51309,                0.45299,                0.96998,                0.93182,                0.88216,                0.94755,                0.78514,                0.78248,                0.50669,                 1.0244,             0.00015498,             0.00015498,             0.00015498
                     57,                0.50293,                0.43688,                0.96892,                0.84414,                0.87528,                  0.919,                0.76923,                0.75591,                0.57314,                   1.01,             0.00015168,             0.00015168,             0.00015168
                     58,                0.51393,                0.45876,                0.97578,                0.90034,                0.86203,                0.95032,                0.79208,                0.75684,                0.59267,                0.99835,             0.00014838,             0.00014838,             0.00014838
                     59,                0.50001,                0.43627,                0.96767,                0.91233,                0.89496,                0.95195,                0.79284,                0.78089,                0.54821,                 1.0214,             0.00014509,             0.00014509,             0.00014509
                     60,                0.49142,                0.42674,                0.96677,                 0.9342,                0.87562,                0.95085,                 0.8006,                0.74448,                0.52655,                0.99673,             0.00014179,             0.00014179,             0.00014179
                     61,                0.49457,                0.43748,                0.96618,                0.88825,                0.90436,                0.94877,                0.79196,                0.77068,                 0.5429,                 1.0103,             0.00013849,             0.00013849,             0.00013849
                     62,                0.50146,                0.43314,                0.96616,                0.94821,                0.85576,                0.94737,                 0.7974,                0.74798,                0.51774,                0.99921,              0.0001352,              0.0001352,              0.0001352
                     63,                0.49787,                0.42053,                0.97097,                0.92226,                0.86661,                0.93915,                0.77824,                0.77198,                0.53464,                 1.0177,              0.0001319,              0.0001319,              0.0001319
                     64,                0.49857,                0.44275,                 0.9716,                0.87524,                0.87691,                 0.9342,                 0.7882,                0.71391,                0.54363,                0.97967,              0.0001286,              0.0001286,              0.0001286
                     65,                0.51671,                0.44956,                 0.9799,                0.89698,                0.86996,                0.93264,                0.79151,                0.72219,                0.56668,                0.98923,             0.00012531,             0.00012531,             0.00012531
                     66,                0.49236,                0.42215,                0.96484,                0.93261,                0.87659,                0.94419,                 0.7901,                0.73246,                0.51781,                0.98443,             0.00012201,             0.00012201,             0.00012201
                     67,                0.50302,                0.43807,                0.97636,                0.90397,                0.88642,                0.94328,                 0.7863,                0.78407,                0.56259,                  1.021,             0.00011871,             0.00011871,             0.00011871
                     68,                0.49548,                0.42522,                0.96355,                0.92332,                 0.8949,                0.96603,                0.80249,                0.80473,                0.51752,                 1.0233,             0.00011542,             0.00011542,             0.00011542
                     69,                0.49393,                0.43792,                0.96528,                 0.9135,                0.87047,                0.93781,                0.79743,                0.71682,                0.60844,                0.99041,             0.00011212,             0.00011212,             0.00011212
                     70,                 0.4854,                0.42634,                0.96319,                0.88818,                0.84752,                0.94004,                0.79037,                0.72436,                0.60112,                0.99045,             0.00010882,             0.00010882,             0.00010882
                     71,                0.49308,                0.42796,                0.96629,                0.86748,                0.88364,                0.90943,                0.76644,                0.71708,                0.60454,                0.97988,             0.00010553,             0.00010553,             0.00010553
                     72,                0.48903,                0.42228,                0.96507,                0.90902,                0.84676,                0.92274,                0.76097,                0.78864,                0.60777,                 1.0335,             0.00010223,             0.00010223,             0.00010223
                     73,                0.48948,                0.42723,                0.96256,                0.87782,                0.87977,                0.91873,                0.75776,                0.80313,                0.58468,                 1.0269,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     74,                0.48422,                0.41977,                0.95632,                0.90641,                0.86929,                0.94291,                0.80705,                0.68979,                0.55969,                0.96512,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     75,                0.48819,                0.41779,                0.96069,                0.91466,                0.88154,                0.94457,                0.79025,                0.75726,                 0.5333,                 1.0109,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     76,                0.49059,                 0.4172,                0.96003,                 0.9129,                0.86201,                0.92422,                0.78492,                0.72545,                0.61104,                0.98628,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     77,                0.48935,                0.40981,                0.96252,                0.89351,                0.87382,                0.93929,                0.79227,                0.72763,                0.56451,                0.98333,             8.5748e-05,             8.5748e-05,             8.5748e-05
                     78,                0.48388,                 0.4156,                  0.961,                0.93148,                0.86063,                0.94134,                0.79985,                 0.7088,                0.55365,                0.98029,             8.2451e-05,             8.2451e-05,             8.2451e-05
                     79,                0.47929,                0.38552,                0.96184,                0.90934,                0.87438,                0.94069,                0.79787,                0.73357,                  0.549,                0.99284,             7.9154e-05,             7.9154e-05,             7.9154e-05
                     80,                0.49161,                0.40813,                0.96446,                0.92884,                0.88195,                0.93755,                0.80541,                 0.6975,                0.54797,                0.96757,             7.5857e-05,             7.5857e-05,             7.5857e-05
                     81,                0.47697,                0.39868,                0.95868,                0.93536,                0.88328,                0.94455,                0.80098,                0.72264,                0.51971,                0.97657,             7.2561e-05,             7.2561e-05,             7.2561e-05
                     82,                0.48668,                0.40412,                0.96036,                0.91564,                0.86936,                0.93688,                0.79632,                0.72659,                0.53801,                0.98376,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     83,                0.48528,                0.40832,                0.96076,                0.92758,                 0.8477,                0.94253,                0.81411,                0.67999,                0.53721,                0.95753,             6.5967e-05,             6.5967e-05,             6.5967e-05
                     84,                0.45271,                0.38767,                0.95381,                0.92799,                0.86844,                0.94651,                0.79937,                0.74071,                0.52021,                0.98859,             6.2671e-05,             6.2671e-05,             6.2671e-05
                     85,                0.47489,                0.39171,                0.95927,                0.92211,                0.86511,                0.94417,                0.80264,                 0.7117,                0.52338,                0.97736,             5.9374e-05,             5.9374e-05,             5.9374e-05
                     86,                0.47864,                0.39974,                0.95559,                0.91473,                0.88305,                0.94956,                0.80294,                 0.7416,                0.52366,                0.98892,             5.6077e-05,             5.6077e-05,             5.6077e-05
                     87,                0.46014,                0.38072,                0.95171,                0.91418,                 0.8664,                0.95018,                0.81244,                0.70121,                0.53649,                0.97124,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                 0.4656,                0.37675,                 0.9505,                0.92133,                0.86316,                0.95306,                0.81406,                0.71443,                0.51244,                0.96911,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                0.47257,                0.39133,                0.95814,                0.91215,                0.86415,                 0.9491,                0.80079,                0.73834,                 0.5351,                0.99354,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.47401,                0.39659,                0.96247,                0.91209,                0.87296,                 0.9445,                0.79598,                 0.7525,                0.55213,                 1.0031,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.32559,                 0.2145,                0.86667,                0.91752,                0.86314,                0.92363,                  0.789,                0.71281,                0.60642,                0.99161,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.32379,                0.20904,                0.86207,                0.93341,                0.85294,                0.92697,                0.79499,                0.69119,                0.58825,                0.97687,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.31751,                0.20374,                0.85772,                0.92621,                0.86282,                0.93554,                0.79634,                0.69424,                0.55425,                 0.9752,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.31843,                0.20311,                0.85663,                0.92889,                0.85511,                0.93532,                 0.8034,                0.68041,                0.54516,                0.96407,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.31653,                0.19863,                0.85928,                 0.8994,                0.88833,                0.93513,                0.79119,                0.70748,                0.53137,                0.98134,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                0.30958,                0.19519,                0.85821,                0.92213,                0.87486,                0.93656,                 0.7972,                0.68909,                0.54424,                0.96571,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                 0.3116,                0.19735,                0.86371,                0.93327,                0.85031,                0.93392,                0.80034,                0.69107,                0.55257,                0.97384,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.30702,                0.19259,                0.85214,                0.92508,                0.86075,                 0.9334,                0.79472,                 0.7022,                0.56187,                0.97851,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.30862,                0.19267,                0.85049,                0.92309,                0.85952,                0.92978,                0.79293,                  0.715,                0.55997,                0.98773,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                0.30626,                 0.1931,                0.85678,                0.92531,                0.86639,                0.93798,                0.80257,                0.70099,                0.55254,                  0.981,             9.9234e-06,             9.9234e-06,             9.9234e-06
