                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.5931,                0.61732,                 1.1599,                0.89973,                0.89543,                0.95845,                0.75213,                0.93034,                0.60943,                 1.5308,             0.00022421,             0.00022421,             0.00022421
                     36,                0.59354,                0.60581,                 1.1553,                0.92909,                0.89249,                 0.9304,                0.72915,                0.94502,                0.63526,                 1.5785,             0.00022091,             0.00022091,             0.00022091
                     37,                0.59566,                0.60743,                 1.1527,                0.91101,                0.86547,                0.91079,                 0.7309,                0.87262,                0.64769,                 1.4775,             0.00021762,             0.00021762,             0.00021762
                     38,                0.58786,                0.59916,                 1.1483,                0.89831,                0.90443,                0.94264,                0.73618,                 0.9792,                0.63696,                 1.5952,             0.00021432,             0.00021432,             0.00021432
                     39,                0.58587,                0.57153,                 1.1517,                0.94186,                0.86968,                0.94948,                0.72541,                 1.0177,                0.62277,                 1.6494,             0.00021102,             0.00021102,             0.00021102
                     40,                0.58759,                0.59306,                 1.1573,                 0.8977,                0.88312,                0.95267,                0.73539,                0.95836,                 0.6134,                 1.5635,             0.00020773,             0.00020773,             0.00020773
                     41,                0.58267,                 0.5753,                 1.1489,                0.89743,                 0.8791,                0.94764,                0.70998,                 1.0716,                0.62545,                 1.7266,             0.00020443,             0.00020443,             0.00020443
                     42,                0.57598,                0.54629,                 1.1437,                0.90405,                0.85048,                0.93929,                0.71662,                0.97652,                0.63231,                 1.6118,             0.00020113,             0.00020113,             0.00020113
                     43,                0.57392,                 0.5413,                 1.1361,                0.92185,                0.83675,                0.94075,                0.75403,                0.88624,                0.61952,                 1.4998,             0.00019784,             0.00019784,             0.00019784
                     44,                0.59594,                0.57189,                  1.157,                0.91831,                 0.8779,                0.94193,                0.76568,                0.81013,                0.59726,                 1.4069,             0.00019454,             0.00019454,             0.00019454
                     45,                0.56916,                0.54535,                 1.1352,                0.91815,                0.88096,                0.95474,                0.78524,                0.82345,                0.57132,                 1.4242,             0.00019124,             0.00019124,             0.00019124
                     46,                0.57687,                0.54074,                 1.1457,                0.92485,                0.87194,                0.95038,                0.77842,                0.85417,                0.60514,                 1.4416,             0.00018795,             0.00018795,             0.00018795
                     47,                0.57502,                0.56013,                 1.1373,                0.91298,                0.90103,                0.96481,                0.75827,                0.96591,                0.55886,                 1.6002,             0.00018465,             0.00018465,             0.00018465
                     48,                0.56977,                0.54541,                 1.1333,                0.92955,                0.85597,                 0.9556,                0.75689,                0.93039,                 0.6211,                 1.5409,             0.00018135,             0.00018135,             0.00018135
                     49,                 0.5514,                0.50742,                 1.1191,                0.87653,                0.90141,                0.95805,                0.75602,                0.90274,                0.63066,                 1.5291,             0.00017806,             0.00017806,             0.00017806
                     50,                0.56007,                0.52082,                 1.1301,                0.91961,                0.85729,                0.95473,                0.77722,                0.86826,                0.57814,                 1.4803,             0.00017476,             0.00017476,             0.00017476
                     51,                0.55258,                 0.5344,                 1.1286,                0.93864,                0.87521,                0.95373,                0.74946,                0.96111,                 0.5767,                  1.601,             0.00017146,             0.00017146,             0.00017146
                     52,                0.54827,                0.51415,                 1.1214,                0.92285,                0.86144,                0.94211,                0.74876,                0.91794,                0.61411,                 1.5254,             0.00016817,             0.00016817,             0.00016817
                     53,                0.54904,                 0.5173,                 1.1278,                0.90922,                0.87661,                0.94604,                 0.7331,                0.93836,                 0.6214,                 1.5697,             0.00016487,             0.00016487,             0.00016487
                     54,                0.54953,                0.52234,                 1.1139,                0.93089,                0.86189,                0.94871,                0.74665,                0.94386,                0.58013,                 1.6117,             0.00016157,             0.00016157,             0.00016157
                     55,                0.53699,                0.50549,                  1.113,                0.91903,                 0.8835,                0.95011,                0.75007,                0.92153,                0.58492,                 1.5544,             0.00015827,             0.00015827,             0.00015827
